A,B,C,D,E,Time
0,24.29,269,659.8,48.6,2020-01-17 13:22:57
0,26.42,272,659.8,49.9,2020-01-17 13:23:01
0,25.07,272,659.8,48.9,2020-01-17 13:23:06
0,22.35,272,659.8,47.3,2020-01-17 13:23:10
0,25.07,270,659.8,48.1,2020-01-17 13:23:14
0,24.76,272,659.8,48.9,2020-01-17 13:23:18
0,23.09,269,659.8,48.3,2020-01-17 13:23:22
0,20.16,268,659.8,48.9,2020-01-17 13:23:26
0,16.81,272,659.8,48,2020-01-17 13:23:31
0,17.34,267,659.8,48,2020-01-17 13:23:35
0,18.78,274,659.8,49.6,2020-01-17 13:23:39
0,19.84,271,659.8,48.9,2020-01-17 13:23:43
0,18.76,272,659.8,50.7,2020-01-17 13:23:47
0,19.08,270,659.8,47.8,2020-01-17 13:23:52
0,19,269,659.8,47.6,2020-01-17 13:23:56
0,18.87,272,659.8,49.6,2020-01-17 13:24:00
0,19.98,272,659.8,48.1,2020-01-17 13:24:04
0,20.45,268,659.8,48.9,2020-01-17 13:24:08
0,21.24,274,659.8,48.5,2020-01-17 13:24:13
0,20.79,272,659.8,47.6,2020-01-17 13:24:17
0,19.74,272,659.8,48.5,2020-01-17 13:24:21
0,19.32,272,659.8,47.5,2020-01-17 13:24:25
0,19.05,272,659.8,49.3,2020-01-17 13:24:29
0,18.8,271,659.8,48.6,2020-01-17 13:24:34
0,18.65,271,659.8,47.8,2020-01-17 13:24:38
0,18.52,272,659.8,48.9,2020-01-17 13:24:42
0,18.41,271,659.8,49.1,2020-01-17 13:24:46
0,18.49,269,659.8,48.8,2020-01-17 13:24:50
0,18.74,272,659.8,49.3,2020-01-17 13:24:54
0,19.04,272,659.8,48.6,2020-01-17 13:24:59
0,19.6,267,659.8,48.5,2020-01-17 13:25:03
0,20.58,272,659.8,49.7,2020-01-17 13:25:07
0,22.31,271,659.8,48.9,2020-01-17 13:25:11
0,21.96,271,659.8,51.5,2020-01-17 13:25:15
0,21.37,272,659.8,48,2020-01-17 13:25:20
0,21.67,269,659.8,45.2,2020-01-17 13:25:24
0,21.66,272,659.8,48.3,2020-01-17 13:25:28
0,21.66,269,659.8,48.9,2020-01-17 13:25:32
0,21.8,272,659.8,48.9,2020-01-17 13:25:36
0,22.06,268,659.8,49.9,2020-01-17 13:25:41
0,21.93,269,659.8,48.1,2020-01-17 13:25:45
0,20.98,273,659.8,49.1,2020-01-17 13:25:49
0,20.65,272,659.8,49.7,2020-01-17 13:25:53
0,20.16,272,659.8,48.5,2020-01-17 13:25:57
0,19.98,271,659.8,48.9,2020-01-17 13:26:02
0,19.95,271,659.8,48.3,2020-01-17 13:26:06
0,19.99,271,659.8,48.1,2020-01-17 13:26:10
0,20.05,270,659.8,40.1,2020-01-17 13:26:14
0,20.17,269,659.8,48.6,2020-01-17 13:26:18
0,20.22,271,659.8,48.8,2020-01-17 13:26:23
0,20.46,272,659.8,48.9,2020-01-17 13:26:27
0,20.67,275,659.8,47.8,2020-01-17 13:26:31
0,21.04,272,659.8,48.9,2020-01-17 13:26:35
0,21.51,272,659.8,48.5,2020-01-17 13:26:39
0,22.1,269,659.8,48.9,2020-01-17 13:26:44
0,23.74,269,659.8,48.5,2020-01-17 13:26:48
0,26.41,269,659.8,48.3,2020-01-17 13:26:52
0,27.85,257,659.8,47.5,2020-01-17 13:26:56
0,28.59,269,659.8,53.6,2020-01-17 13:27:00
0,29.13,270,659.8,48.1,2020-01-17 13:27:04
0,29.27,272,659.8,48.9,2020-01-17 13:27:09
0,29.28,272,659.8,47.8,2020-01-17 13:27:13
0,29.32,275,659.8,49.1,2020-01-17 13:27:17
0,29.16,271,659.8,48.9,2020-01-17 13:27:21
0,29.3,272,659.8,51.2,2020-01-17 13:27:25
0,29.24,271,659.8,49.3,2020-01-17 13:27:30
0,29.37,271,659.8,48.5,2020-01-17 13:27:34
0,29.54,275,659.8,48.3,2020-01-17 13:27:38
0,29.34,266,659.8,43.8,2020-01-17 13:27:42
0,29.3,274,659.8,48.9,2020-01-17 13:27:46
0,29.72,271,659.8,48.8,2020-01-17 13:27:51
0,29.99,272,659.8,48,2020-01-17 13:27:55
0,30.04,271,659.8,48.9,2020-01-17 13:27:59
0,29.42,272,659.8,48.3,2020-01-17 13:28:03
0,29.01,270,659.8,49.3,2020-01-17 13:28:07
0,29.13,272,659.8,48,2020-01-17 13:28:11
0,29.68,272,659.8,48.9,2020-01-17 13:28:16
0,30.16,272,659.8,48.8,2020-01-17 13:28:20
0,30.44,269,659.8,48.1,2020-01-17 13:28:24
0,30.31,275,659.8,48.5,2020-01-17 13:28:28
