Intensity,Output
20,85
21.5,85.8
26,98
30,100
40,70
37.5,75.8
25.8,77.3
26,90
33.6,84.7
20,85
18.4,91
27,82
25.3,103
32.2,90
17.8,112
36.1,86.3
39,77.8
24,87
28.6,96
21.2,100
34,91.3
32.2,95.3
29.6,95.7
30.1,79.8
35.4,85.2
22.2,101
33.6,91.4
24.7,102
37,84.7
36.7,83.3
15,114
20,108
25,103.2
32,88.7
41,65.4
19.7,114
24.1,98
31.4,82.19
55.2,64
65,75.2
42,70
48.7,65.8
51.2,67
35.6,81
23.5,90
53.5,75
47.8,74.2
62,65
36.9,84
25,91
31,86
46.3,78.2
19.85,98
45,85
23.9,97.2
51.2,71.2
69.2,68.2
59,70
33.6,95
41,81
18.2,85
