Intensity,Output
0,700
10,672
50,624
78,602
100,594
134,573
148,562
157,534
193,509
204,496
224,484
257,467
284,449
294,420
320,396
329,373
333,363
357,359
378,339
379,321
392,310
403,297
424,276
454,253
472,239
489,218
500,200
510,192
523,188
538,184
542,179
550,175
553,173
555,171
560,163
567,161
573,159
582,157
586,153
592,151
603,148
609,141
613,137
617,132
623,128
628,123
631,121
636,119
642,113
647,106
653,93
654,72
656,69
666,64
669,61
672,59
674,55
677,51
682,47
685,41
691,39
695,30
700,25
