Intensity,Output
20,123.8
21.5,115
26,107
30,117.8
40,102
37.5,102.5
25.8,112.6
26,111
33.6,98
20,125
18.4,132.2
27,114.2
25.3,118
32.2,109
17.8,141
36.1,115
39,110
24,123.6
28.6,119.2
21.2,118.4
34,105
32.2,101.3
29.6,110
30.1,112
35.4,105.8
22.2,127.7
33.6,110
24.7,118.9
37,105.3
36.7,104.2
15,144
20,137.2
25,134
32,121
41,95
19.7,141
24.1,132.5
31.4,124.7
55.2,90
65,85
42,120
48.7,114
51.2,97
35.6,132.2
23.5,139.2
53.5,93.1
47.8,100
62,89
36.9,111.3
25,122.5
31,116.7
46.3,97.2
19.85,132
45,96.9
23.9,128.2
51.2,91.3
69.2,88
59,87.2
33.6,113.6
41,101
18.2,143
